N_Processo;Orgao;Situacao_Orgao;Modalidade;Objeto;Itens_Licitado;Valor_Total_Previsto;Valor_Total_Realizado;Quant_Licitada;N_Edital;Data_Publicação;Data_Abertura;CPF_CNPJ;Razao_Social
27/004.511/2018;FESA;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL;"Rosuvastatina cálcica - Dosagem: 10 mg; Apresentação: cápsula, comprimido ou drágea.";6171,0000000000000000;6171,0000000000000000;11220,00000000;0009/2019;20190606;20190624;10656587000145;CIRÚRGICA MS LTDA ME
27/004.511/2018;FESA;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL;"Rosuvastatina cálcica - Dosagem: 20 mg; Apresentação: cápsula, comprimido ou drágea.";3348,0000000000000000;3348,0000000000000000;4650,00000000;0009/2019;20190606;20190624;10656587000145;CIRÚRGICA MS LTDA ME
27/004.511/2018;FESA;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL;"Rosuvastatina cálcica - Dosagem: 10 mg; Apresentação: cápsula, comprimido ou drágea.";6171,0000000000000000;6171,0000000000000000;11220,00000000;0009/2019;20190606;20190624;10656587000145;CIRÚRGICA MS LTDA ME
27/004.511/2018;FESA;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE MEDICAMENTOS - AÇÃO JUDICIAL;"Rosuvastatina cálcica - Dosagem: 20 mg; Apresentação: cápsula, comprimido ou drágea.";3348,0000000000000000;3348,0000000000000000;4650,00000000;0009/2019;20190606;20190624;10656587000145;CIRÚRGICA MS LTDA ME
57/500.090/2019;AGEHAB;Ativo;CONVITE;Execução das obras de construção de muro de arrimo para 9 lotes no Conjunto Habitacional Caiuás Etapa I - Quadra: 03, Lotes: 01 a 09, município de Amambai/MS.;Serviço de obras do Estado/Municípios não Imobilizáveis;173239,2100000000000000;136897,4200000000000000;1,00000000;0002/2019;20190618;20190628;17485641000186;LT CONSTRUÇÕES E COMÉRCIO LTDA - ME
57/500.090/2019;AGEHAB;Ativo;CONVITE;Execução das obras de construção de muro de arrimo para 9 lotes no Conjunto Habitacional Caiuás Etapa I - Quadra: 03, Lotes: 01 a 09, município de Amambai/MS.;Serviço de obras do Estado/Municípios não Imobilizáveis;173239,2100000000000000;136897,4200000000000000;1,00000000;0002/2019;20190618;20190628;17485641000186;LT CONSTRUÇÕES E COMÉRCIO LTDA - ME
71/601.064/2018;AGRAER;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE RESFRIADOR DE LEITE;"Resfriador - Tipo: de leite; expansão: direta; Material: em aço inox AISI 304; Capacidade: 1000 litros; Fundo: com declive para escoamento do leite; Sistema: eletrônico de refrigeração com visor digital; dispositivo: de proteção contra queda e interrupção de energia; Tensão: de 220 volts monofásico; Dados Complementares: protetor para-raios, motor agitador, isolamento em poliuretano injetado, para";218671,0000000000000000;146250,0000000000000000;15,00000000;0003/2019;20190604;20190618;03809314000128;REFRIBRASIL INDÚSTRIA E COMÉRCIO LTDA
71/601.064/2018;AGRAER;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE RESFRIADOR DE LEITE;"Resfriador - Tipo: de leite; expansão: direta; Material: em aço inox AISI 304; Capacidade: 1000 litros; Fundo: com declive para escoamento do leite; Sistema: eletrônico de refrigeração com visor digital; dispositivo: de proteção contra queda e interrupção de energia; Tensão: de 220 volts monofásico; Dados Complementares: protetor para-raios, motor agitador, isolamento em poliuretano injetado, para";172635,0000000000000000;146250,0000000000000000;15,00000000;0003/2019;20190604;20190618;03809314000128;REFRIBRASIL INDÚSTRIA E COMÉRCIO LTDA
71/601.064/2018;AGRAER;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE RESFRIADOR DE LEITE;"Resfriador - Tipo: de leite; expansão: direta; Material: em aço inox AISI 304; Capacidade: 1000 litros; Fundo: com declive para escoamento do leite; Sistema: eletrônico de refrigeração com visor digital; dispositivo: de proteção contra queda e interrupção de energia; Tensão: de 220 volts monofásico; Dados Complementares: protetor para-raios, motor agitador, isolamento em poliuretano injetado, para";46036,0000000000000000;42330,0000000000000000;4,00000000;0003/2019;20190604;20190618;06305092000102;COMERCIAL ISOTOTAL EIRELI EPP
29/001.909/2019;SED;Ativo;PREGÃO ELETRÔNICO;1ª REPETIÇÃO AQUISIÇÃO DE MATERIAIS DE BARBEARIA;"Máquina - Tipo: de corte; Uso: profissional; Voltagem: 110 V.";13615,2000000000000000;6999,9000000000000000;30,00000000;0005/2019;20190611;20190717;08256030000175;MORENA COMÉRCIO & SERVIÇO LTDA - EPP
29/001.909/2019;SED;Ativo;PREGÃO ELETRÔNICO;1ª REPETIÇÃO AQUISIÇÃO DE MATERIAIS DE BARBEARIA;"Máquina - Tipo: acabamento; Voltagem: 110 V.";3594,0000000000000000;3594,0000000000000000;30,00000000;0005/2019;20190611;20190717;08256030000175;MORENA COMÉRCIO & SERVIÇO LTDA - EPP
