N_Processo;Orgao;Situacao_Orgao;Modalidade;Objeto;Itens_Licitado;Valor_Total_Previsto;Valor_Total_Realizado;Quant_Licitada;N_Edital;Data_Publicação;Data_Abertura;CPF_CNPJ;Razao_Social
15/000.946/2018;F-PGE;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE TOLDO DEVIDAMENTE INSTALADO;"Tenda - Tipo: piramidal; Estrutura: chapa de ferro tipo tubular; Cobertura: policarbonato; Cor: azul; Espessura: 6mm; Fixação: rebites nos arcos e parafusos nos postes.";5578,0000000000000000;5578,0000000000000000;1,00000000;0008/2018;20190222;20190311;12669940000157;FLAVIO HENRIQUE SEVERO EIRELI
15/000.946/2018;F-PGE;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE TOLDO DEVIDAMENTE INSTALADO;"Tenda - Tipo: piramidal; Estrutura: chapa de ferro tipo tubular; Cobertura: policarbonato; Cor: azul; Espessura: 6mm; Fixação: rebites nos arcos e parafusos nos postes.";5578,0000000000000000;5578,0000000000000000;1,00000000;0008/2018;20190222;20190311;12669940000157;FLAVIO HENRIQUE SEVERO EIRELI
29/033.070/2018;SED;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE NOTEBOOK, MICROCOMPUTADOR, PROJETOR MULTIMÍDIA E CÂMERA FOTOGRÁFICA;"Microcomputador - Tipo: Desktop; Processador: padrão X86 com núcleo duplo de no mínimo de 3.5 GHz de frequência de base, memória cache de no mínimo 3MB; Placa mãe: com chipset do mesmo fabricante do processador; Desenvolvida pelo mesmo fabricante do equipamento; Barramento de memória: 2133MHz com suporte a no mínimo 32 GB de memória RAM e suporte à tecnologia Dual-Channel; Memória RAM tipo/quantid";63192,4500000000000000;56250,0000000000000000;15,00000000;0002/2019;20190227;20190326;22672400000186;DELTACHIP COMERCIAL LTDA - ME
29/033.070/2018;SED;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE NOTEBOOK, MICROCOMPUTADOR, PROJETOR MULTIMÍDIA E CÂMERA FOTOGRÁFICA;"Projetor - Tipo: 3000 ANSI Lumens; Tecnologia de formação de imagem: 3LCD ou DLP; Resolução: VGA, SVGA, XGA e HDTV (480i, 480p, 576i, 576p, 720p, 1080i, 1080p); Lâmpada: de mercúrio de alta pressão de no mínimo 190 watts, mínimo 3000 ANSI lumens , com vida útil de no mínimo 4.500 horas em modo normal e no mínimo 6.000 horas em modo econômico; Sistema de cores: PAL, PAL-N, PAL-M, NTSC, NTSC4.43 e S";4181,3800000000000000;3810,0000000000000000;2,00000000;0002/2019;20190227;20190326;13646927000145;CAPILE COMERCIO E TECNOLOGIA EIRELI - EPP
29/033.070/2018;SED;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE NOTEBOOK, MICROCOMPUTADOR, PROJETOR MULTIMÍDIA E CÂMERA FOTOGRÁFICA;"Microcomputador - Tipo: Desktop; Processador: padrão X86 com núcleo duplo de no mínimo de 3.5 GHz de frequência de base, memória cache de no mínimo 3MB; Placa mãe: com chipset do mesmo fabricante do processador; Desenvolvida pelo mesmo fabricante do equipamento; Barramento de memória: 2133MHz com suporte a no mínimo 32 GB de memória RAM e suporte à tecnologia Dual-Channel; Memória RAM tipo/quantid";63192,4500000000000000;56250,0000000000000000;15,00000000;0002/2019;20190227;20190326;22672400000186;DELTACHIP COMERCIAL LTDA - ME
29/033.070/2018;SED;Ativo;PREGÃO ELETRÔNICO;AQUISIÇÃO DE NOTEBOOK, MICROCOMPUTADOR, PROJETOR MULTIMÍDIA E CÂMERA FOTOGRÁFICA;"Projetor - Tipo: 3000 ANSI Lumens; Tecnologia de formação de imagem: 3LCD ou DLP; Resolução: VGA, SVGA, XGA e HDTV (480i, 480p, 576i, 576p, 720p, 1080i, 1080p); Lâmpada: de mercúrio de alta pressão de no mínimo 190 watts, mínimo 3000 ANSI lumens , com vida útil de no mínimo 4.500 horas em modo normal e no mínimo 6.000 horas em modo econômico; Sistema de cores: PAL, PAL-N, PAL-M, NTSC, NTSC4.43 e S";4181,3800000000000000;3810,0000000000000000;2,00000000;0002/2019;20190227;20190326;13646927000145;CAPILE COMERCIO E TECNOLOGIA EIRELI - EPP
27/004.700/2018;FESA;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ATENDIMENTO DOMICILIAR - AÇÃO JUDICIAL;Serviço médico/hospitalar para cumprimento de decisão judicia;154153,9200000000000000;153600,0000000000000000;12,00000000;0001/2019;20190222;20190311;08773548000186;KZT - SERVIÇOS MÉDICOS DE ATENÇÃO DOMICILIAR LTDA
27/004.700/2018;FESA;Ativo;PREGÃO ELETRÔNICO;CONTRATAÇÃO DE EMPRESA ESPECIALIZADA EM ATENDIMENTO DOMICILIAR - AÇÃO JUDICIAL;Serviço médico/hospitalar para cumprimento de decisão judicia;154153,9200000000000000;153600,0000000000000000;12,00000000;0001/2019;20190222;20190311;08773548000186;KZT - SERVIÇOS MÉDICOS DE ATENÇÃO DOMICILIAR LTDA
57/500.173/2018;AGEHAB;Ativo;CONVITE;Execução da obra de reconstrução de 01 (uma) unidade habitacional, localizada na  Quadra: 03, Lote 02, s/n, no loteamento Jardim Europa, município de Deodápolis/MS.;Serviço de obras do Estado/Municípios não Imobilizáveis;53636,9000000000000000;52561,6300000000000000;1,00000000;0001/2019;20190225;20190312;16637437000170;M.S.DA SILVA CONSTRUTORA EIRELI -EPP
57/500.173/2018;AGEHAB;Ativo;CONVITE;Execução da obra de reconstrução de 01 (uma) unidade habitacional, localizada na  Quadra: 03, Lote 02, s/n, no loteamento Jardim Europa, município de Deodápolis/MS.;Serviço de obras do Estado/Municípios não Imobilizáveis;53636,9000000000000000;52561,6300000000000000;1,00000000;0001/2019;20190225;20190312;16637437000170;M.S.DA SILVA CONSTRUTORA EIRELI -EPP
